song_id,artist,song,lyrics,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3bbzeZcfsK0ac7rdN2s7WX,Sooraj Santhosh,Uyiril Thodum,ആദ്യം തമ്മിൽ കാണും ഞൊടിയിൽ കൊതിച്ചു നിന്നെ മിന്നും മുത്തേ കണ്ണിൻ മണിയേ ആരും കാണാ നേരം പതിയേ അടുത്തുവന്നു മെയ്യിൽ ചേരാനുള്ളം പിടയേ ഇടതൂർന്നു പെയ്യും തോരും മഴപോൽ ഇടനെഞ്ചിൽ ഈണം നെയ്യും കുളിരേ നിന്നിലലിയാൻ മാത്രം ഞാൻ പിറന്നുവെന്നു തോന്നി ഇന്നീ നിമിഷം  ...   (1409620718682),0.66,0.411,4,-9.356,0,0.0308,0.719,0.000218,0.0956,0.275,107.895
6pnwfWyaWjQiHCKTiZLItr,Pink Floyd,Shine On You Crazy Diamond,"Remember when you were young? You shone like the sun Shine on, you crazy diamond  Now there's a look in your eyes Like black holes in the sky Shine on, you crazy diamond  You were caught in the crossfire Of childhood and stardom Blown on the steel breeze Come on, you target For faraway laughter Come on you stranger You legend, you martyr, and shine!  ...   (1409620718682)",0.266,0.294,7,-11.938,0,0.0291,0.771,0.697,0.107,0.0397,137.941
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,"Tastes like strawberries On a summer evenin' And it sounds just like a song I want more berries And that summer feelin' It's so wonderful and warm  Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar  Strawberries on a summer evenin' Baby, you're the end of June ...   (1409620718682)",0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
0ZHILXmUaVSLEOCWxPQ1ga,Tanishk Bagchi,Makhna,"ये भी ना जाने, वो भी ना जाने नैनों के रंग नैना जाने मिला जो संग तेरा उड़ा पतंग मेरा हवा में होके मलंग  जग की कोई रीत ना जानी मैं तो बस तेरी हुई दीवानी मिला जो संग तेरा उड़ा पतंग मेरा हवा में होके मलंग  मैं छोड़ आयी घरबार मेरा ਓ ਮੱਖਣਾਂ, ਵੇ ਮੱਖਣਾਂ अब तू ही है संसार मेरा ਓ ਮੱਖਣਾਂ, ਵੇ ਮੱਖਣਾਂ  ये पागल सा है प्यार मेरा ਓ ਮੱਖਣਾਂ, ਵੇ ਮੱਖਣਾਂ मैं छोड़ आयी घरबार मेरा ਓ, ਮੱਖਣਾਂ  ...   (1409620718682)",0.696,0.704,1,-7.876,1,0.0423,0.167,0.0,0.155,0.426,124.972
3MNYXalwzhzSY3APoec6Nn,Vishal-Shekhar,Jaane Kyun,"I'll be alright, I'll be alright I'll be alright  तू है, तो टेड़ी-मेड़ी राहें, उलटी-पुलटी बातें सीधी लगती हैं तू है, तो झूठे-मूठे वादे, दुश्मन के इरादे सच्चे लगते हैं  जो दिल में तारे-वारे दे जगा वो तू ही है, तू ही है जो रोते-रोते दे हँसा, तू ही है वही  जाने क्यूँ (जाने क्यूँ) दिल जानता है तू है, तो I'll be alright (I'll be alright, I'll be alright)  जाने क्यूँ (जाने क्यूँ) दिल जानता है (yeah, yeah, yeah) तू है, तो I'll be alright (I'll be alright, I'll be alright)  सारी दुनिया एक तरफ़ है, एक तरफ़ है हम हर खुशी तो दूर भागे, मिल रहे हैं ग़म But when you smile for me the world seems alright ये मेरी ज़िन्दगी पल में ही खिल जाए, जाने क्यूँ (na-na-na, na-na)  जाने क्यूँ (जाने क्यूँ) दिल जानता है तू है, तो I'll be alright ...   (1409620718682)",0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962
3meosaLOJGuQ6OjxnYR7sI,Vishal-Shekhar,Dhat Teri Ki,"Dil ne zabardasti ki Maine zara si masti ki Badhne lagi thi nazdeeqi It's going down tonight Mujhko yaqeen tha Action ka scene tha I was buzzing She was buzzing We was buzzing Ou.  Aankhon se jo karni thi Baatein woh besharmi ki Mujhko galat-fahmi thi It's going down tonight Maine to socha tha Bas yehi mauqa tha I was buzzing She was buzzing We was leaving but! Teen sau baar baj gaya telephone It's Mummy Daddy sayin come on home I said main nai aana, main nai aana Dhat teri ki main ghar nai jaana  Dhat teri ki main, dhat teri ki main Dhat teri ki main ghar nai jaana Dhat teri ki main, dhat teri ki main Dhat teri ki main ghar nai jaana Roka toh kiss my ass Toka toh kiss my ass Izzat se kiss my ass Main ghar nai jaana  Dhat teri ki main, dhat teri ki main Dhat teri ki main ghar nai jaana Dhat teri ki main, dhat teri ki main Dhat teri ki main ghar nai jaana Roka toh kiss my ass Toka toh kiss my ass ...   (1409620718682)",0.81,0.744,0,-6.929,0,0.0335,0.105,1.79e-06,0.0802,0.96,120.041
5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,"Have you got color in your cheeks? Do you ever get that fear that you can't shift the type That sticks around like summat in your teeth? Are there some aces up your sleeve? Have you no idea that you're in deep? I've dreamt about you nearly every night this week How many secrets can you keep? 'Cause there's this tune I found That makes me think of you somehow and I play it on repeat Until I fall asleep, spillin' drinks on my settee  (Do I wanna know?) If this feelin' flows both ways? (Sad to see you go) Was sorta hopin' that you'd stay (Baby, we both know) That the nights were mainly made For sayin' things that you can't say tomorrow day  Crawlin' back to you Ever thought of callin' when You've had a few? ...   (1409620718682)",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03
0BxE4FqsDD1Ot4YuBXwAPp,Arctic Monkeys,505,"I'm going back to 505 If it's a seven hour flight or a 45 minute drive In my imagination, you're waiting lying on your side With your hands between your thighs  Stop and wait a sec' When you look at me like that, my darling, what did you expect? I'd probably still adore you with your hands around my neck Or I did last time I checked...  ...   (1409620718682)",0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266
0og9wKFGgFFNQnrBe7eisG,Shankar Mahadevan,Uff Teri Adaa,"जोगी नच ले, रंग रज दे लहरा के, बलखा के तू दुनिया भुला के नाच धुन कोई गुनगुना ले गा ले तू गा के नाच रंगीनियो में खो जा पी के पिला के नाच मधभरे नैनों से तू नैना मिला के नाच उफ़ तेरी अदा I like the way you move उफ़ तेरा बदन I like to see you groove उफ़ तेरी नज़र Its say I wanna dance with you उफ़ तेरी अदा I like the way you move उफ़ तेरा बदन I like to see you groove उफ़ तेरी नज़र Its say I wanna dance with you  सुन ले साहेबा, तू है एक नशा ...   (1409620718682)",0.647,0.792,2,-9.815,1,0.0373,0.00536,5.82e-05,0.054,0.306,132.032
4evmHXcjt3bTUHD1cvny97,Ed Sheeran,Beautiful People,"We are, we are, we are  L.A. on a Saturday night in the summer Sundown and they all come out Lamborghinis and their rented Hummers The party's on, so they're headin' downtown ('Round here) Everybody's lookin' for a come up And they wanna know what you're about Me in the middle with the one I love and We're just tryna figure everything out  We don't fit in well 'cause we are just ourselves I could use some help gettin' out of this conversation, yeah You look stunnin', dear, so don't ask that question here This is my only fear, that we become (Ay)  Beautiful people Drop top, designer clothes Front row at fashion shows ...   (1409620718682)",0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977
